fish
Rank;FISH;USD
1;72800;1500
2;58500;1200
3;48600;1000
4;34000;700
5;29100;600
6;24300;500
7;19450;400
8;14600;300
9;9720;200
10;7300;150
11;4860;100
12;4660;96
13;4460;91
14;4260;87
15;4060;83
16;3860;79
17;3660;75
18;3460;71
19;3260;67
20;3060;63
21;2860;58
22;2660;54
23;2460;51
24;2260;47
25;2060;42
26;1860;39
27;1660;34
28;1460;20
29;1260;26
30;1060;21
31;730;15
32;730;15
33;730;15
34;730;15
35;730;15
36;730;15
37;730;15
38;730;15
39;730;15
40;730;15
41;730;15
42;730;15
43;730;15
44;730;15
45;730;15
46;730;15
47;730;15
48;730;15
49;730;15
50;730;15
51;485;10
52;485;10
53;485;10
54;485;10
55;485;10
56;485;10
57;485;10
58;485;10
59;485;10
60;485;10
61;485;10
62;485;10
63;485;10
64;485;10
65;485;10
66;485;10
67;485;10
68;485;10
69;485;10
70;485;10
71;485;10
72;485;10
73;485;10
74;485;10
75;485;10
76;485;10
77;485;10
78;485;10
79;485;10
80;485;10
81;485;10
82;485;10
83;485;10
84;485;10
85;485;10
86;485;10
87;485;10
88;485;10
89;485;10
90;485;10
91;485;10
92;485;10
93;485;10
94;485;10
95;485;10
96;485;10
97;485;10
98;485;10
99;485;10
100;485;10
101;340;7
102;340;7
103;340;7
104;340;7
105;340;7
106;340;7
107;340;7
108;340;7
109;340;7
110;340;7
111;340;7
112;340;7
113;340;7
114;340;7
115;340;7
116;340;7
117;340;7
118;340;7
119;340;7
120;340;7
121;340;7
122;340;7
123;340;7
124;340;7
125;340;7
126;340;7
127;340;7
128;340;7
129;340;7
130;340;7
131;340;7
132;340;7
133;340;7
134;340;7
135;340;7
136;340;7
137;340;7
138;340;7
139;340;7
140;340;7
141;340;7
142;340;7
143;340;7
144;340;7
145;340;7
146;340;7
147;340;7
148;340;7
149;340;7
150;340;7
151;340;7
152;340;7
153;340;7
154;340;7
155;340;7
156;340;7
157;340;7
158;340;7
159;340;7
160;340;7
161;340;7
162;340;7
163;340;7
164;340;7
165;340;7
166;340;7
167;340;7
168;340;7
169;340;7
170;340;7
171;340;7
172;340;7
173;340;7
174;340;7
175;340;7
176;340;7
177;340;7
178;340;7
179;340;7
180;340;7
181;340;7
182;340;7
183;340;7
184;340;7
185;340;7
186;340;7
187;340;7
188;340;7
189;340;7
190;340;7
191;340;7
192;340;7
193;340;7
194;340;7
195;340;7
196;340;7
197;340;7
198;340;7
199;340;7
200;340;7
201;245;5
202;245;5
203;245;5
204;245;5
205;245;5
206;245;5
207;245;5
208;245;5
209;245;5
210;245;5
211;245;5
212;245;5
213;245;5
214;245;5
215;245;5
216;245;5
217;245;5
218;245;5
