Rank,Username,Score,PurpleStones,Cards rare,Cards epic,Cards legendary,NFT,PIXEL,USD (ref.),userId
1,ZeroDecibel,255290960.08,443992,8200,6410,1670,1.3,-,-,6029274073
2,Jeff_nart,249687032.4,658440,5236,4358,1076,1.3,-,-,7050913884
3,Liss136,249184185.35,582579,6220,4874,1196,1.3,-,-,876593218
4,zer0viux,182386492.99,352090,9173,5778,1324,1.3,-,-,1768903538
5,mistermfm,179705819.59,553428,6044,3568,813,1.3,-,-,5486310232
6,vaughnivan,124902771.08,383182,4723,3667,925,1.3,-,-,5019516605
7,saveliy59,102415127.88,389580,3669,3001,745,1.3,-,-,448715519
8,o1avit,90762066.59,326782,3999,3142,784,1.3,-,-,5884079775
9,MegaboxBS,83852456.69,397008,3820,2389,516,1.3,-,-,164190065
10,MikePerry,66961231.92,347688,3465,2808,727,-,-,-,139208852
11,DDD7371,60676440,430000,2715,1658,397,1.2,-,-,474210589
12,NiPS19,60308340.51,320057,3126,2548,626,1.1,-,-,1710565673
13,Skif3110,58518865.92,326848,4265,2523,597,-,-,-,6428312504
14,ponk3502,55934400.6,356770,2130,1760,455,1.3,-,-,7455152476
15,LilyJustAFlower,53176468.8,275640,2849,2267,509,1.3,-,-,253668293
16,Phoenix_f1re,47754431.12,300520,3385,2027,488,1.1,-,-,890094493
17,khiroshin,47239015.86,236589,2832,2279,559,1.3,-,-,5232525961
18,Overlordss,46892630.4,364980,2693,1719,373,1.1,-,-,569649470
19,Saturn26rus,46635209.6,314720,2777,2227,526,-,-,-,42457442
20,GWprp,45009904.9,372864,2555,1633,342,1.1,-,-,174430893
21,Cyberblazer,43662240,324000,2707,1601,362,1.2,-,-,5458875996
22,AnitaWilson2020,41469120,264000,3073,1879,428,1.2,-,-,6889389416
23,enchikkcc,40739348.5,272944,3308,1937,435,1.1,-,-,7007536572
24,MyMindFlop,35548585.38,363594,2221,1362,337,-,-,-,5347989754
25,Muhraj1,30343410.38,321748,1659,1130,271,1.2,-,-,270318611
26,LionDY,30280705.28,365356,1596,1214,295,-,-,-,6825618482
27,toniypol,29056903.2,275944,2425,1485,355,-,-,-,7284929685
28,ilyuxa,28674568,334000,1206,956,243,1.3,-,-,46681647
29,TimTLT,27588486.74,308952,1247,1044,239,1.3,-,-,1187896467
30,Dsverba,25673365.74,285304,1598,978,229,1.3,-,-,994336086
31,ProServisVL,23750688,304496,1326,888,241,1.2,-,-,1214157058
32,emmendoza,23436944.45,264932,1403,1093,259,1.2,-,-,441438828
33,MarksonL33t,23402500,185000,3000,1850,400,-,-,-,819325194
34,crypto_avocado,23362785.89,335788,1300,836,189,1.2,-,-,5896508558
35,sw_iceman,23193684.8,381632,919,722,149,1.3,-,-,552752256
36,Ez_ppp,22896326.88,273670,1544,926,255,1.2,-,-,2011840113
37,7622298574,21015172.51,359246,1256,804,155,1.1,-,-,7622298574
38,Aurora11000,19875659.76,218222,2042,1252,321,-,-,-,7441598034
39,K_M_A05,19237722.46,315740,1257,764,189,1.1,-,-,358790126
40,F_E_S_S_1,18933115.04,246782,1739,1061,265,-,-,-,6790941148
41,Harabas,18301920,364000,798,604,148,1.2,-,-,1983366905
42,7468714637,18141013.8,231420,1457,1164,279,-,-,-,7468714637
43,ronaldrei3030,18105000,204000,2012,1231,307,-,-,-,6407555829
44,sergidji,17747769.91,336674,745,620,135,1.3,-,-,5115231282
45,2093798465,17026796.71,263830,1065,864,211,1.1,-,-,2093798465
46,Galaa111,16984256.52,239316,1254,981,280,-,-,-,7494003158
47,Teona100,16745744.88,195354,2012,1210,283,-,-,-,7293864409
48,rudy_sv,16287905.38,262488,1197,758,160,1.2,-,-,5534354979
49,7980192923,15658673.58,295614,1237,760,168,-,-,-,7980192923
50,Gufisd,15629338.03,254086,1316,752,192,1.1,-,-,534189589
51,Anne156,14987678.4,251640,1343,901,181,-,-,-,7086375196
52,llleeegggeeennntttuuurrraaa,14931426,218200,1616,959,225,-,-,-,5623408008
53,Resident747,14875524.8,221983,1349,831,215,1.1,-,-,812325627
54,Dreamer00112,14746119.7,280686,1117,753,130,1.1,-,-,7408237390
55,TK43j2c6sZ,14742364,202000,957,839,204,1.3,-,-,5302704331
56,yd_alabama,14727782.94,289820,888,557,125,1.3,-,-,981404733
57,jianthann,14571518.99,339046,748,466,106,1.3,-,-,8198585439
58,upstreak24,14460961.79,302442,675,521,134,1.3,-,-,755683300
59,ludzakura,14296326.66,260820,1194,753,143,1.1,-,-,510639825
60,radele4ka,14287280,217000,1136,956,248,-,-,-,244188668
61,NVnight,14268501,351000,724,451,95,1.3,-,-,519938217
62,marratik,14253587.09,202256,1269,794,167,1.3,-,-,1534325066
63,alabamagee,13985370,281000,1061,682,177,-,-,-,6196384305
64,snow_illustration,13828411.58,247608,1059,645,156,1.2,-,-,6844594341
65,Sergbarey,13750418.95,325446,846,535,129,1.1,-,-,1329819814
66,Ludmila_crypto,13697459.04,242992,1304,761,195,-,-,-,6635331519
67,Tio142,13578593.6,237388,1271,813,191,-,-,-,7452257204
68,Ivangoto,13483846.51,282698,843,492,125,1.3,-,-,842070363
69,mnb550,13473381.6,271400,885,564,146,1.2,-,-,319926394
70,lytvynoleh,13410683,191000,1457,922,206,1.1,-,-,898195354
71,CriptoVSB,13386911.86,282842,1173,680,142,-,-,-,1593564683
72,notcoin_az,13380900,188000,1026,813,191,1.3,-,-,2132563147
73,kelinaayy,13270977.92,283084,941,699,155,-,-,-,8470310132
74,mentiou,13192150.01,255355,746,566,143,1.3,-,-,6149077801
75,ZhNiNa,13087828.99,303296,823,521,111,1.2,-,-,1341445626
76,YURII_26,13017862,253000,914,588,118,1.3,-,-,908538039
77,5718416241,13000970.58,196170,894,708,198,1.3,-,-,5718416241
78,Tolik2015,12996357.44,242108,1196,724,190,-,-,-,7430692417
79,luckedra,12755787.41,283752,794,478,113,1.3,-,-,422542802
80,tuomb,12697572.45,219442,1025,632,143,1.3,-,-,5157529461
