Rank,Username,Score,Gold,Rare,Epic,Legendary,NFT,PIXEL,USD (ref.),userId
1,Crypto_miha,4950686,265880,634,226,45,-,-,-,5835434348
2,steel_man568,4559760,2111000,15,3,2,1.5,-,-,7996431060
3,Ludmila_crypto,4339903,335646,416,159,30,-,-,-,6635331519
4,Aridan_7,2823600,150000,515,181,29,1.3,-,-,5315938649
5,rada_ira_rada,2589620,158000,558,177,45,-,-,-,659522951
6,choypayatot,2227940,1558000,12,7,1,-,-,-,1857394009
7,Sunli8,2140500,150000,438,183,34,-,-,-,5683311610
8,Knparty,2103000,150000,471,137,42,-,-,-,7312960078
9,toniypol,1717689,1145126,0,0,0,1.5,-,-,7284929685
10,max777str,1473680,1352000,3,2,0,-,-,-,7371089637
11,arith3d,1461159,163807,301,107,17,-,-,-,451022239
12,saveliy59,1304700,869800,0,0,0,1.5,-,-,448715519
13,7660393399,1294440,138000,334,108,18,-,-,-,7660393399
14,Galaa111,1237000,1237000,0,0,0,-,-,-,7494003158
15,7378360004,1091185,208281,98,45,7,1.3,-,-,7378360004
16,saveliy595,1087820,998000,3,2,0,-,-,-,6116664663
17,7468714637,1029411,857842,1,3,1,-,-,-,7468714637
18,dipalisinghh,1027200,640000,4,1,0,1.5,-,-,6815887681
19,emmendoza,940016,616000,3,2,0,1.4,-,-,441438828
20,7459181758,865980,153000,165,57,13,-,-,-,7459181758
21,ToriTori01,861000,861000,0,0,0,-,-,-,1213008615
22,valeriy777str,723320,676000,4,1,0,-,-,-,7869436979
23,daxdaxy,664406,71380,209,79,17,1.3,-,-,1229692545
24,fishchukkonstanti,505512,306000,2,2,1,1.4,-,-,1807087416
25,Gofard,453600,432000,5,0,0,-,-,-,239905608
26,7337861837,437797,401648,3,2,0,-,-,-,7337861837
27,Oziinill,431653,286242,3,1,1,1.3,-,-,5291224325
28,Gufisd,375840,324000,3,1,1,-,-,-,534189589
29,sw_iceman,365940,342000,4,1,0,-,-,-,552752256
30,dimatag,354000,354000,0,0,0,-,-,-,117674425
31,Tio142,353800,353800,0,0,0,-,-,-,7452257204
32,Ivaivan0,352140,352140,0,0,0,-,-,-,7004917176
33,2093798465,352000,352000,0,0,0,-,-,-,2093798465
34,VitosVo,321761,184920,7,3,0,1.5,-,-,1838223811
35,deriku,212440,188000,1,4,0,-,-,-,7113563874
36,thesemenko,207366,129200,4,1,0,1.5,-,-,488633056
37,IT_8770,204048,144000,3,2,0,1.3,-,-,1376758870
38,iMitz6,197184,164320,1,3,1,-,-,-,5342480325
39,Natlam85,197000,197000,0,0,0,-,-,-,5092276545
40,alexeysv1985,189837,171024,2,3,0,-,-,-,1301489657
41,7303066101,177840,62400,75,20,5,-,-,-,7303066101
42,Mishkakod,169680,161600,5,0,0,-,-,-,6202441591
43,bmae21,155040,136000,4,0,1,-,-,-,8040112162
44,ponk3502,150470,68240,10,9,1,1.5,-,-,7455152476
45,7817153138,149000,149000,0,0,0,-,-,-,7817153138
46,HopiumLast,148499,128016,3,1,1,-,-,-,6018976994
47,7617055114,145410,131000,2,3,0,-,-,-,7617055114
48,AleksWhite79,134961,134961,0,0,0,-,-,-,1241433422
49,suman279,130251,130251,0,0,0,-,-,-,5428900652
50,luckyQuach,122925,81950,0,0,0,1.5,-,-,2115983938
51,5028631175,120277,31322,115,33,7,-,-,-,5028631175
52,LilyJustAFlower,118500,79000,0,0,0,1.5,-,-,253668293
53,Bravos79,118470,118470,0,0,0,-,-,-,7367007462
54,Limistea,108852,101730,4,1,0,-,-,-,6930583808
55,yd_alabama,107800,77000,0,0,0,1.4,-,-,981404733
56,ilyvh,99960,84000,9,0,1,-,-,-,6374314779
57,jujunchh,96300,90000,4,1,0,-,-,-,6045724002
58,chikaqyu,93858,65043,2,3,0,1.3,-,-,2129922780
59,1010093125,88880,88880,0,0,0,-,-,-,1010093125
60,igorrrrrrrrrrrrrrrrrrrr,87728,83550,5,0,0,-,-,-,1717982301
61,Lusik2,87069,81372,4,1,0,-,-,-,460020156
62,RuslanPv39,82455,77060,4,1,0,-,-,-,5966457828
63,7137956131,78578,72089,3,2,0,-,-,-,7137956131
64,Andromed23,73124,61969,2,2,1,-,-,-,6267307482
65,7261384966,72307,36335,40,13,2,-,-,-,7261384966
66,6376759845,70992,40800,38,12,0,-,-,-,6376759845
67,ZIMBA1994,68370,43000,15,8,2,-,-,-,1410125752
68,van_gojik,58889,45650,4,5,1,-,-,-,153970160
69,olchlx,58722,58722,0,0,0,-,-,-,6288891452
70,La_Dame_de_Monsoreau,58476,58476,0,0,0,-,-,-,1472759993
71,LionHp191,57620,57620,0,0,0,-,-,-,2102054376
72,silmirion,57584,18880,76,23,6,-,-,-,129631849
73,7668625047,57476,54739,5,0,0,-,-,-,7668625047
74,LevGork,54087,46626,7,3,0,-,-,-,1224799458
75,mechanic47ru,53372,49880,4,1,0,-,-,-,6663619473
76,dimspradipta,53321,49832,4,1,0,-,-,-,162771742
77,NoAmen01,48590,43000,1,4,0,-,-,-,6995012360
78,6117382529,48536,45360,4,1,0,-,-,-,6117382529
79,8166190177,47679,47679,0,0,0,-,-,-,8166190177
80,Jujun18,47110,47110,0,0,0,-,-,-,6824253900
81,Jl0000011,46817,42951,3,2,0,-,-,-,677442665
82,alexnikolai4,40833,35818,8,2,0,-,-,-,967420144
83,Jlouo,39111,37248,5,0,0,-,-,-,7346126634
84,barbabianca80,37554,32374,3,1,1,-,-,-,652478174
85,MYurii71,36428,24613,17,7,1,-,-,-,378563112
86,makarenko_sd,34962,27969,6,3,1,-,-,-,129301243
87,roberto98765,34905,29580,2,2,1,-,-,-,6291339742
88,Vovasem09,33640,25104,5,3,2,-,-,-,773586364
89,Be2KoS,32733,30030,3,2,0,-,-,-,1220038226
90,JIuILeMeP,32370,28901,9,1,0,-,-,-,313594367
91,brainqdead,32177,29520,3,2,0,-,-,-,372055503
92,2036525234,30380,30380,0,0,0,-,-,-,2036525234
93,7448287202,30021,25880,3,1,1,-,-,-,7448287202
94,qwerty1234544,29895,27939,4,1,0,-,-,-,158322542
95,denis25may,28512,12960,36,8,6,-,-,-,777812006
96,iseeyourlife,27880,27880,0,0,0,-,-,-,623253552
97,Vechesvet,27687,27687,0,0,0,-,-,-,326682087
98,chlxbrg,27375,19553,0,0,0,1.4,-,-,362746377
99,7207578406,25880,23315,2,3,0,-,-,-,7207578406
100,1337008969,25169,23970,5,0,0,-,-,-,1337008969
101,Igro_gold_man,24664,23050,4,1,0,-,-,-,5290545108
102,58868907,23490,15660,0,0,0,1.5,-,-,58868907
103,Eaalex,23433,22317,5,0,0,-,-,-,526923301
104,maximilym,23241,20386,8,2,0,-,-,-,1576117406
105,5238912701,20696,19710,5,0,0,-,-,-,5238912701
106,alexodessit,20191,18190,2,3,0,-,-,-,1122016519
107,7840929061,19740,19740,0,0,0,-,-,-,7840929061
108,alexlego,19585,18303,4,1,0,-,-,-,226546068
109,lybinav,18080,15586,7,3,0,-,-,-,1034886852
110,BasterMark,17259,16129,4,1,0,-,-,-,656762393
111,Azurester,16478,16478,0,0,0,-,-,-,5600580750
112,Tryarty,15887,15130,5,0,0,-,-,-,706381844
113,Liudlych,15818,13636,3,1,1,-,-,-,1196232556
114,lanaluna8,15750,15000,5,0,0,-,-,-,5536975837
115,Frank_Faceworld,13574,10688,1,2,2,-,-,-,1216939079
116,manajatwa21,13342,12240,3,2,0,-,-,-,291988274
117,ironballs22,13200,13200,0,0,0,-,-,-,221446510
118,humano3avr,12863,12021,4,1,0,-,-,-,537779288
119,Viktolich,12204,11405,4,1,0,-,-,-,5938046467
120,dominoshka_1980,12012,11020,3,2,0,-,-,-,1201853658
121,7157532929,11901,5980,40,13,2,-,-,-,7157532929
122,lilianaaa2392,10942,9118,1,3,1,-,-,-,7144149358
123,teslolom,9747,8550,4,0,1,-,-,-,1172772448
124,6847047216,9416,8800,4,1,0,-,-,-,6847047216
125,6620585972,9382,6339,13,5,2,-,-,-,6620585972
126,7313887164,9300,9300,0,0,0,-,-,-,7313887164
127,Arhivariuc,9216,9216,0,0,0,-,-,-,904728553
128,Pozdravljal,9062,9062,0,0,0,-,-,-,616366938
129,Margo_88,8409,8409,0,0,0,-,-,-,294090781
130,6291253825,8250,8250,0,0,0,-,-,-,6291253825
131,7784156077,7794,7150,3,2,0,-,-,-,7784156077
